1F481 $ 200D 2640 FE0F; 💁🏻‍♀️ woman tipping hand
1F64B 200D 2642 FE0F; 🙋‍♂️ man raising hand
1F64B $ 200D 2642 FE0F; 🙋🏻‍♂️ man raising hand
1F64B 200D 2640 FE0F; 🙋‍♀️ woman raising hand
1F64B $ 200D 2640 FE0F; 🙋🏻‍♀️ woman raising hand
1F647 200D 2642 FE0F; 🙇‍♂️ man bowing
1F647 $ 200D 2642 FE0F; 🙇🏻‍♂️ man bowing
1F647 200D 2640 FE0F; 🙇‍♀️ woman bowing
1F647 $ 200D 2640 FE0F; 🙇🏻‍♀️ woman bowing
1F926 200D 2642 FE0F; 🤦‍♂️ man facepalming
1F926 $ 200D 2642 FE0F; 🤦🏻‍♂️ man facepalming
1F926 200D 2640 FE0F; 🤦‍♀️ woman facepalming
1F926 $ 200D 2640 FE0F; 🤦🏻‍♀️ woman facepalming
1F937 200D 2642 FE0F; 🤷‍♂️ man shrugging
1F937 $ 200D 2642 FE0F; 🤷🏻‍♂️ man shrugging
1F937 200D 2640 FE0F; 🤷‍♀️ woman shrugging
1F937 $ 200D 2640 FE0F; 🤷🏻‍♀️ woman shrugging
1F486 200D 2642 FE0F; 💆‍♂️ man getting massage
1F486 $ 200D 2642 FE0F; 💆🏻‍♂️ man getting massage
1F486 200D 2640 FE0F; 💆‍♀️ woman getting massage
1F486 $ 200D 2640 FE0F; 💆🏻‍♀️ woman getting massage
1F487 200D 2642 FE0F; 💇‍♂️ man getting haircut
1F487 $ 200D 2642 FE0F; 💇🏻‍♂️ man getting haircut
1F487 200D 2640 FE0F; 💇‍♀️ woman getting haircut
1F487 $ 200D 2640 FE0F; 💇🏻‍♀️ woman getting haircut
1F6B6 200D 2642 FE0F; 🚶‍♂️ man walking
1F6B6 $ 200D 2642 FE0F; 🚶🏻‍♂️ man walking
1F6B6 200D 2640 FE0F; 🚶‍♀️ woman walking
1F6B6 $ 200D 2640 FE0F; 🚶🏻‍♀️ woman walking
1F3C3 200D 2642 FE0F; 🏃‍♂️ man running
1F3C3 $ 200D 2642 FE0F; 🏃🏻‍♂️ man running
1F3C3 200D 2640 FE0F; 🏃‍♀️ woman running
1F3C3 $ 200D 2640 FE0F; 🏃🏻‍♀️ woman running
1F483; 💃 woman dancing
1F483 $; 💃🏻 woman dancing
1F57A; 🕺 man dancing
1F57A $; 🕺🏻 man dancing
1F46F 200D 2642 FE0F; 👯‍♂️ men with bunny ears partying
1F46F 200D 2640 FE0F; 👯‍♀️ women with bunny ears partying
1F574; 🕴 man in business suit levitating
1F574 $; 🕴🏻 man in business suit levitating
1F5E3; 🗣 speaking head
1F464; 👤 bust in silhouette
1F465; 👥 busts in silhouette
1F93A; 🤺 person fencing
1F3C7; 🏇 horse racing
1F3C7 $; 🏇🏻 horse racing
26F7; ⛷ skier
1F3C2; 🏂 snowboarder
1F3C2 $; 🏂🏻 snowboarder
1F3CC FE0F 200D 2642 FE0F; 🏌️‍♂️ man golfing
1F3CC $ 200D 2642 FE0F; 🏌🏻‍♂️ man golfing
1F3CC FE0F 200D 2640 FE0F; 🏌️‍♀️ woman golfing
1F3CC $ 200D 2640 FE0F; 🏌🏻‍♀️ woman golfing
1F3C4 200D 2642 FE0F; 🏄‍♂️ man surfing
1F3C4 $ 200D 2642 FE0F; 🏄🏻‍♂️ man surfing
1F3C4 200D 2640 FE0F; 🏄‍♀️ woman surfing
1F3C4 $ 200D 2640 FE0F; 🏄🏻‍♀️ woman surfing
1F6A3 200D 2642 FE0F; 🚣‍♂️ man rowing boat
1F6A3 $ 200D 2642 FE0F; 🚣🏻‍♂️ man rowing boat
1F6A3 200D 2640 FE0F; 🚣‍♀️ woman rowing boat
1F6A3 $ 200D 2640 FE0F; 🚣🏻‍♀️ woman rowing boat
1F3CA 200D 2642 FE0F; 🏊‍♂️ man swimming
1F3CA $ 200D 2642 FE0F; 🏊🏻‍♂️ man swimming
1F3CA 200D 2640 FE0F; 🏊‍♀️ woman swimming
1F3CA $ 200D 2640 FE0F; 🏊🏻‍♀️ woman swimming
26F9 FE0F 200D 2642 FE0F; ⛹️‍♂️ man bouncing ball
26F9 $ 200D 2642 FE0F; ⛹🏻‍♂️ man bouncing ball
26F9 FE0F 200D 2640 FE0F; ⛹️‍♀️ woman bouncing ball
26F9 $ 200D 2640 FE0F; ⛹🏻‍♀️ woman bouncing ball
1F3CB FE0F 200D 2642 FE0F; 🏋️‍♂️ man lifting weights
1F3CB $ 200D 2642 FE0F; 🏋🏻‍♂️ man lifting weights
1F3CB FE0F 200D 2640 FE0F; 🏋️‍♀️ woman lifting weights
1F3CB $ 200D 2640 FE0F; 🏋🏻‍♀️ woman lifting weights
1F6B4 200D 2642 FE0F; 🚴‍♂️ man biking
1F6B4 $ 200D 2642 FE0F; 🚴🏻‍♂️ man biking
1F6B4 200D 2640 FE0F; 🚴‍♀️ woman biking
1F6B4 $ 200D 2640 FE0F; 🚴🏻‍♀️ woman biking
1F6B5 200D 2642 FE0F; 🚵‍♂️ man mountain biking
1F6B5 $ 200D 2642 FE0F; 🚵🏻‍♂️ man mountain biking
1F6B5 200D 2640 FE0F; 🚵‍♀️ woman mountain biking
1F6B5 $ 200D 2640 FE0F; 🚵🏻‍♀️ woman mountain biking
1F3CE; 🏎 racing car
1F3CD; 🏍 motorcycle
1F938 200D 2642 FE0F; 🤸‍♂️ man cartwheeling
1F938 $ 200D 2642 FE0F; 🤸🏻‍♂️ man cartwheeling
1F938 200D 2640 FE0F; 🤸‍♀️ woman cartwheeling
1F938 $ 200D 2640 FE0F; 🤸🏻‍♀️ woman cartwheeling
1F93C 200D 2642 FE0F; 🤼‍♂️ men wrestling
1F93C 200D 2640 FE0F; 🤼‍♀️ women wrestling
1F93D 200D 2642 FE0F; 🤽‍♂️ man playing water polo
1F93D $ 200D 2642 FE0F; 🤽🏻‍♂️ man playing water polo
1F93D 200D 2640 FE0F; 🤽‍♀️ woman playing water polo
1F93D $ 200D 2640 FE0F; 🤽🏻‍♀️ woman playing water polo
1F93E 200D 2642 FE0F; 🤾‍♂️ man playing handball
1F93E $ 200D 2642 FE0F; 🤾🏻‍♂️ man playing handball
1F93E 200D 2640 FE0F; 🤾‍♀️ woman playing handball
1F93E $ 200D 2640 FE0F; 🤾🏻‍♀️ woman playing handball
1F939 200D 2642 FE0F; 🤹‍♂️ man juggling
1F939 $ 200D 2642 FE0F; 🤹🏻‍♂️ man juggling
1F939 200D 2640 FE0F; 🤹‍♀️ woman juggling
1F939 $ 200D 2640 FE0F; 🤹🏻‍♀️ woman juggling
1F6CC; 🛌 person in bed !! moved
1F6CC $; 🛌🏻 person in bed !! moved
1F6C0; 🛀 person taking bath !! moved
1F6C0 $; 🛀🏻 person taking bath !! moved
1F46B; 👫 man and woman holding hands
1F46C; 👬 two men holding hands
1F46D; 👭 two women holding hands
1F48F; 💏 kiss
1F469 200D 2764 FE0F 200D 1F48B 200D 1F468; 👩‍❤️‍💋‍👨 kiss
1F468 200D 2764 FE0F 200D 1F48B 200D 1F468; 👨‍❤️‍💋‍👨 kiss
1F469 200D 2764 FE0F 200D 1F48B 200D 1F469; 👩‍❤️‍💋‍👩 kiss
1F491; 💑 couple with heart
1F469 200D 2764 FE0F 200D 1F468; 👩‍❤️‍👨 couple with heart
1F468 200D 2764 FE0F 200D 1F468; 👨‍❤️‍👨 couple with heart
1F469 200D 2764 FE0F 200D 1F469; 👩‍❤️‍👩 couple with heart
1F46A; 👪 family
1F468 200D 1F469 200D 1F466; 👨‍👩‍👦 family
1F468 200D 1F469 200D 1F467; 👨‍👩‍👧 family
1F468 200D 1F469 200D 1F467 200D 1F466; 👨‍👩‍👧‍👦 family
1F468 200D 1F469 200D 1F466 200D 1F466; 👨‍👩‍👦‍👦 family
1F468 200D 1F469 200D 1F467 200D 1F467; 👨‍👩‍👧‍👧 family
1F468 200D 1F468 200D 1F466; 👨‍👨‍👦 family
1F468 200D 1F468 200D 1F467; 👨‍👨‍👧 family
1F468 200D 1F468 200D 1F467 200D 1F466; 👨‍👨‍👧‍👦 family
1F468 200D 1F468 200D 1F466 200D 1F466; 👨‍👨‍👦‍👦 family
1F468 200D 1F468 200D 1F467 200D 1F467; 👨‍👨‍👧‍👧 family
1F469 200D 1F469 200D 1F466; 👩‍👩‍👦 family
1F469 200D 1F469 200D 1F467; 👩‍👩‍👧 family
1F469 200D 1F469 200D 1F467 200D 1F466; 👩‍👩‍👧‍👦 family
1F469 200D 1F469 200D 1F466 200D 1F466; 👩‍👩‍👦‍👦 family
1F469 200D 1F469 200D 1F467 200D 1F467; 👩‍👩‍👧‍👧 family
1F468 200D 1F466; 👨‍👦 family
1F468 200D 1F466 200D 1F466; 👨‍👦‍👦 family
1F468 200D 1F467; 👨‍👧 family
1F468 200D 1F467 200D 1F466; 👨‍👧‍👦 family
1F468 200D 1F467 200D 1F467; 👨‍👧‍👧 family
1F469 200D 1F466; 👩‍👦 family
